State,County/ Congressional District,Veteran Population,Year
Arkansas,COLUMBIA,1710,2010
Arkansas,CONWAY,2149,2010
Arkansas,CRAIGHEAD,6670,2010
Arkansas,CRAWFORD,5557,2010
Arkansas,CRITTENDEN,3376,2010
Arkansas,CROSS,1293,2010
Arkansas,DALLAS,440,2010
Arkansas,DESHA,753,2010
Arkansas,DREW,1466,2010
Arkansas,FAULKNER,7962,2010
Arkansas,FRANKLIN,1686,2010
Arkansas,FULTON,1342,2010
Arkansas,GARLAND,11237,2010
Arkansas,GRANT,1777,2010
Arkansas,GREENE,3556,2010
Arkansas,HEMPSTEAD,1542,2010
Arkansas,HOT SPRING,3567,2010
Arkansas,HOWARD,934,2010
Arkansas,INDEPENDENCE,3235,2010
Arkansas,IZARD,1650,2010
Arkansas,JACKSON,1495,2010
Arkansas,JEFFERSON,6392,2010
Arkansas,JOHNSON,1801,2010
Arkansas,LAFAYETTE,672,2010
Arkansas,LAWRENCE,1402,2010
Arkansas,LEE,568,2010
Arkansas,LINCOLN,1109,2010
Arkansas,LITTLE RIVER,1044,2010
Arkansas,LOGAN,2217,2010
Arkansas,LONOKE,6752,2010
Arkansas,MADISON,1279,2010
Arkansas,MARION,2371,2010
Arkansas,MILLER,3471,2010
Arkansas,MISSISSIPPI,3428,2010
Arkansas,MONROE,719,2010
Arkansas,MONTGOMERY,1128,2010
Arkansas,NEVADA,758,2010
Arkansas,NEWTON,911,2010
Arkansas,OUACHITA,2447,2010
Arkansas,PERRY,1111,2010
Arkansas,PHILLIPS,1663,2010
Arkansas,PIKE,882,2010
Arkansas,POINSETT,2055,2010
Arkansas,POLK,2388,2010
Arkansas,POPE,4968,2010
Arkansas,PRAIRIE,739,2010
Arkansas,PULASKI,33031,2010
Arkansas,RANDOLPH,1695,2010
Arkansas,SAINT FRANCIS,2160,2010
Arkansas,SALINE,10734,2010
Arkansas,SCOTT,1154,2010
Arkansas,SEARCY,968,2010
Arkansas,SEBASTIAN,10118,2010
Arkansas,SEVIER,1240,2010
Arkansas,SHARP,2281,2010
Arkansas,STONE,1390,2010
Arkansas,UNION,3312,2010
Arkansas,VAN BUREN,1950,2010
Arkansas,WASHINGTON,13321,2010
Arkansas,WHITE,6589,2010
Arkansas,WOODRUFF,522,2010
Arkansas,YELL,1753,2010
California,ALAMEDA,70376,2010
California,ALPINE,71,2010
California,AMADOR,5453,2010
California,BUTTE,21099,2010
California,CALAVERAS,5691,2010
California,COLUSA,1118,2010
California,CONTRA COSTA,63557,2010
California,DEL NORTE,3154,2010
California,EL DORADO,17652,2010
California,FRESNO,45640,2010
